IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP1;IC_GROUP0;IC_GROUP1;IC_GROUP2
17;ТЕЛЕКОММУНИКАЦИИ И СВЯЗЬ;17;Y;;;/upload/iblock/f7e/f7e48aa04e08216920c9f33df4b64ecf.jpg;«Ин-Про» предлагает специализированные услуги по созданию производительных, масштабируемых, надежных и защищенных мультисервисных сетей связи. Специалисты компании выполняют работы по проектированию, строительству и эксплуатации комплексных, территориально-распределенных мультисервисных сетей связи различного назначения.;text;;;text;telecommunication;500;;Структурированные кабельные системы;;;
17;ТЕЛЕКОММУНИКАЦИИ И СВЯЗЬ;17;Y;;;/upload/iblock/f7e/f7e48aa04e08216920c9f33df4b64ecf.jpg;«Ин-Про» предлагает специализированные услуги по созданию производительных, масштабируемых, надежных и защищенных мультисервисных сетей связи. Специалисты компании выполняют работы по проектированию, строительству и эксплуатации комплексных, территориально-распределенных мультисервисных сетей связи различного назначения.;text;;;text;telecommunication;500;;Сети передачи данных;;;
17;ТЕЛЕКОММУНИКАЦИИ И СВЯЗЬ;17;Y;;;/upload/iblock/f7e/f7e48aa04e08216920c9f33df4b64ecf.jpg;«Ин-Про» предлагает специализированные услуги по созданию производительных, масштабируемых, надежных и защищенных мультисервисных сетей связи. Специалисты компании выполняют работы по проектированию, строительству и эксплуатации комплексных, территориально-распределенных мультисервисных сетей связи различного назначения.;text;;;text;telecommunication;500;;Сети телефонной связи;;;
17;ТЕЛЕКОММУНИКАЦИИ И СВЯЗЬ;17;Y;;;/upload/iblock/f7e/f7e48aa04e08216920c9f33df4b64ecf.jpg;«Ин-Про» предлагает специализированные услуги по созданию производительных, масштабируемых, надежных и защищенных мультисервисных сетей связи. Специалисты компании выполняют работы по проектированию, строительству и эксплуатации комплексных, территориально-распределенных мультисервисных сетей связи различного назначения.;text;;;text;telecommunication;500;;Сети проводного радиовещания и ТВ вещания;;;
17;ТЕЛЕКОММУНИКАЦИИ И СВЯЗЬ;17;Y;;;/upload/iblock/f7e/f7e48aa04e08216920c9f33df4b64ecf.jpg;«Ин-Про» предлагает специализированные услуги по созданию производительных, масштабируемых, надежных и защищенных мультисервисных сетей связи. Специалисты компании выполняют работы по проектированию, строительству и эксплуатации комплексных, территориально-распределенных мультисервисных сетей связи различного назначения.;text;;;text;telecommunication;500;;Сети подвижной и фиксированной радиосвязи;;;
18;ЭЛЕКТРОСНАБЖЕНИЕ;18;Y;;;/upload/iblock/da1/da134cbb3b1169dc29a40d592d5b2c78.jpg;Основными задачами компании являются внедрение новейших разработок, направленных на эффективное использование энергетических ресурсов, экологичность, а также повышение безопасности, увеличение сроков эксплуатации и удобство обслуживания оборудования.;text;;;text;electricity;500;;Проектирование, прокладка кабельных линий внутренних сетей;;;
18;ЭЛЕКТРОСНАБЖЕНИЕ;18;Y;;;/upload/iblock/da1/da134cbb3b1169dc29a40d592d5b2c78.jpg;Основными задачами компании являются внедрение новейших разработок, направленных на эффективное использование энергетических ресурсов, экологичность, а также повышение безопасности, увеличение сроков эксплуатации и удобство обслуживания оборудования.;text;;;text;electricity;500;;Монтаж электрооборудования;;;
18;ЭЛЕКТРОСНАБЖЕНИЕ;18;Y;;;/upload/iblock/da1/da134cbb3b1169dc29a40d592d5b2c78.jpg;Основными задачами компании являются внедрение новейших разработок, направленных на эффективное использование энергетических ресурсов, экологичность, а также повышение безопасности, увеличение сроков эксплуатации и удобство обслуживания оборудования.;text;;;text;electricity;500;;Проектирование, строительство и реконструкция наружных сетей;;;
18;ЭЛЕКТРОСНАБЖЕНИЕ;18;Y;;;/upload/iblock/da1/da134cbb3b1169dc29a40d592d5b2c78.jpg;Основными задачами компании являются внедрение новейших разработок, направленных на эффективное использование энергетических ресурсов, экологичность, а также повышение безопасности, увеличение сроков эксплуатации и удобство обслуживания оборудования.;text;;;text;electricity;500;;Закупка и поставка электротехнического оборудования;;;
18;ЭЛЕКТРОСНАБЖЕНИЕ;18;Y;;;/upload/iblock/da1/da134cbb3b1169dc29a40d592d5b2c78.jpg;Основными задачами компании являются внедрение новейших разработок, направленных на эффективное использование энергетических ресурсов, экологичность, а также повышение безопасности, увеличение сроков эксплуатации и удобство обслуживания оборудования.;text;;;text;electricity;500;;Внедрение систем бесперебойного и гарантированного электроснабжения;;;
18;ЭЛЕКТРОСНАБЖЕНИЕ;18;Y;;;/upload/iblock/da1/da134cbb3b1169dc29a40d592d5b2c78.jpg;Основными задачами компании являются внедрение новейших разработок, направленных на эффективное использование энергетических ресурсов, экологичность, а также повышение безопасности, увеличение сроков эксплуатации и удобство обслуживания оборудования.;text;;;text;electricity;500;;Проектирование и монтаж наружного освещения;;;
