IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP3;IP_PROP10;IC_GROUP0;IC_GROUP1;IC_GROUP2
22;АНО «Оргкомитет «Россия 2018»;22;Y;;;/upload/iblock/172/172507f77387a1b8111e900fa7929da0.jpg;;text;;;text;;500;;/upload/iblock/8f4/8f47bafbe1a04ef2d00beda67dc116d2.jpg;;;;
23;АО «Ай-Теко»;23;Y;;;/upload/iblock/4cf/4cf7d1caa6a482270d41395857fb1230.jpg;;text;;;text;;500;;;https://www.i-teco.ru/;;;
24;ООО '' Управляющая компания ''Кредо'';24;Y;;;/upload/iblock/fdd/fdd68ebeac5cb7ce1791d404fbd54a89.jpg;;text;;;text;;500;;;;;;
25;ОАО «ПО «Севмаш»;25;Y;;;/upload/iblock/b09/b09e62e2e25daed5e97689c1225474b8.jpg;;text;;;text;;500;;;http://www.sevmash.ru/;;;
26;Государственный Эрмитаж;26;Y;;;/upload/iblock/891/8918417e84ef6d004aa9aadd2e3970e7.jpg;;text;;;text;;500;;;https://www.hermitagemuseum.org/wps/portal/hermitage?lng=ru;;;
27;ОАО «КБ ВиПС»;27;Y;;;/upload/iblock/b42/b4245ee54ea967181ad865144c75b941.jpg;;text;;;text;;500;;;http://kbvips.ru/;;;
28;Банк ВТБ;28;Y;;;/upload/iblock/b69/b69e77045ffe484db6ee474406f94585.jpg;;text;;;text;;500;;;http://www.vtb.ru/;;;
31;Администрация Санкт-Петербурга;31;Y;;;/upload/iblock/790/790e9187888842e0637ecdf157503d72.jpg;;text;;;text;;500;;/upload/iblock/b3d/b3d3e88ee8b6a4ae6de6a49d4544cdfe.jpg;http://gov.spb.ru/;;;
32;ОАО «Концерн ПВО «Алмаз-Антей»;32;Y;;;/upload/iblock/e43/e43d2e425c8106ece66a174af770febf.jpg;;text;;;text;;500;;;http://www.almaz-antey.ru/;;;
33;Фонд капитального ремонта;33;Y;;;/upload/iblock/7b3/7b3c59c92face34ab8062fc5928afd06.jpg;;text;;;text;;500;;/upload/iblock/c0a/c0a47d26bedfbc8e7d7d885e8e647411.jpg;http://fkr-spb.ru/;;;
34;УФСБ РФ по Санкт-Петербургу и Ленинградской области;34;Y;;;/upload/iblock/508/50872eead48937142ead906c184c29d7.jpg;;text;;;text;;500;;;http://www.fsb.ru/;;;
35;ООО «АсконСтрой»;35;Y;;;/upload/iblock/7d9/7d97781c97156d1a0f168a215c975f58.jpg;;text;;;text;;500;;/upload/iblock/608/608a4917f57ef76108e7e40970965399.jpg;;;;
36;OОО «Ханкитек СПб»;36;Y;;;/upload/iblock/3ac/3ac5e465c86964b0bed96d7aa2d01280.jpg;;text;;;text;;500;;;http://www.hankitek.ru/;;;
37;Министерство обороны РФ;37;Y;;;/upload/iblock/41b/41bc5f8a7df6faaeeb2567ef8db3249f.jpg;;text;;;text;;500;;/upload/iblock/505/5056e10ee8d1148773398be3d6177709.jpg;http://mil.ru/;;;
38;ОАО «Главное управление обустройства войск»;38;Y;;;/upload/iblock/2a8/2a84d21bdbf866e90739fa4b81b7eb93.jpg;;text;;;text;;500;;;http://guov.ru/;;;
39;Фонд ''Дирекция II Европейских игр 2019 года'';39;Y;;;/upload/iblock/b02/b024052f13ef8a76aa121adb5c169553.jpg;;text;;;text;;500;;;;;;
