IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP6;IP_PROP12;IP_PROP5;IC_GROUP0;IC_GROUP1;IC_GROUP2
29;МНОГОФУНКЦИОНАЛЬНЫЕ МЕДИЦИНСКИЕ ЦЕНТРЫ В ОДИНЦОВО И НИЖНЕМ НОВГОРОДЕ;29;Y;;;/upload/iblock/31a/31ac64664ad034344e4a0db8dd67206b.jpg;"<p><strong>Заказчик:</strong> ООО ""ОлимпСитиСтрой""""</p><p><br></p><p>В апреле 2020 года компания «Ин-Про» заключила контракт на комплексные поставки оборудования для новых многофункциональных медицинских центров в г. Нижний Новгород (на 60 койко-мест) и г. Одинцово, Московская обл. (100 койко-мест)</p>";html;;"В рамках развития инфраструктуры военных госпиталей Минобороны России сотрудниками компании «Ин-Про» в кратчайшие сроки было поставлено, смонтировано и введено в эксплуатацию следующее оборудование:
<ul>
<li>Мультимедийное оборудование в палаты и в административные помещения госпиталей;</li>
<li>Компьютерное оборудование;</li> 
<li>Принтерное оборудование.</li>
</ul>";html;;10;;;11;/upload/iblock/d72/d72d12434b177bce3e9f6a56d8b81824.jpg;;;
29;МНОГОФУНКЦИОНАЛЬНЫЕ МЕДИЦИНСКИЕ ЦЕНТРЫ В ОДИНЦОВО И НИЖНЕМ НОВГОРОДЕ;29;Y;;;/upload/iblock/31a/31ac64664ad034344e4a0db8dd67206b.jpg;"<p><strong>Заказчик:</strong> ООО ""ОлимпСитиСтрой""""</p><p><br></p><p>В апреле 2020 года компания «Ин-Про» заключила контракт на комплексные поставки оборудования для новых многофункциональных медицинских центров в г. Нижний Новгород (на 60 койко-мест) и г. Одинцово, Московская обл. (100 койко-мест)</p>";html;;"В рамках развития инфраструктуры военных госпиталей Минобороны России сотрудниками компании «Ин-Про» в кратчайшие сроки было поставлено, смонтировано и введено в эксплуатацию следующее оборудование:
<ul>
<li>Мультимедийное оборудование в палаты и в административные помещения госпиталей;</li>
<li>Компьютерное оборудование;</li> 
<li>Принтерное оборудование.</li>
</ul>";html;;10;;;11;/upload/iblock/02d/02d0531c685bca7198a7047e7aab8bfc.jpg;;;
29;МНОГОФУНКЦИОНАЛЬНЫЕ МЕДИЦИНСКИЕ ЦЕНТРЫ В ОДИНЦОВО И НИЖНЕМ НОВГОРОДЕ;29;Y;;;/upload/iblock/31a/31ac64664ad034344e4a0db8dd67206b.jpg;"<p><strong>Заказчик:</strong> ООО ""ОлимпСитиСтрой""""</p><p><br></p><p>В апреле 2020 года компания «Ин-Про» заключила контракт на комплексные поставки оборудования для новых многофункциональных медицинских центров в г. Нижний Новгород (на 60 койко-мест) и г. Одинцово, Московская обл. (100 койко-мест)</p>";html;;"В рамках развития инфраструктуры военных госпиталей Минобороны России сотрудниками компании «Ин-Про» в кратчайшие сроки было поставлено, смонтировано и введено в эксплуатацию следующее оборудование:
<ul>
<li>Мультимедийное оборудование в палаты и в административные помещения госпиталей;</li>
<li>Компьютерное оборудование;</li> 
<li>Принтерное оборудование.</li>
</ul>";html;;10;;;12;/upload/iblock/d72/d72d12434b177bce3e9f6a56d8b81824.jpg;;;
29;МНОГОФУНКЦИОНАЛЬНЫЕ МЕДИЦИНСКИЕ ЦЕНТРЫ В ОДИНЦОВО И НИЖНЕМ НОВГОРОДЕ;29;Y;;;/upload/iblock/31a/31ac64664ad034344e4a0db8dd67206b.jpg;"<p><strong>Заказчик:</strong> ООО ""ОлимпСитиСтрой""""</p><p><br></p><p>В апреле 2020 года компания «Ин-Про» заключила контракт на комплексные поставки оборудования для новых многофункциональных медицинских центров в г. Нижний Новгород (на 60 койко-мест) и г. Одинцово, Московская обл. (100 койко-мест)</p>";html;;"В рамках развития инфраструктуры военных госпиталей Минобороны России сотрудниками компании «Ин-Про» в кратчайшие сроки было поставлено, смонтировано и введено в эксплуатацию следующее оборудование:
<ul>
<li>Мультимедийное оборудование в палаты и в административные помещения госпиталей;</li>
<li>Компьютерное оборудование;</li> 
<li>Принтерное оборудование.</li>
</ul>";html;;10;;;12;/upload/iblock/02d/02d0531c685bca7198a7047e7aab8bfc.jpg;;;
74;ПАНСИОН ВОСПИТАННИЦ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;74;Y;;;/upload/iblock/6db/6dbca476beaffc126fb4f8574c84070a.jpg;"<p><strong>Заказчик:</strong> ООО ""ОлимпСитиСтрой""""</p><p><br></p><p>1 сентября 2019 года открылся филиал Пансиона воспитанниц Министерства Обороны Российской Федерации в Санкт-Петербурге на о.Бычий.</p>";html;;"Для нового филиала Пансиона компания «Ин-Про» осуществила поставку, монтаж и пуско-наладку современного оборудования, необходимого для учебного процесса:
<ul>
<li>аудио и видеосистемы в зоны досуга и отдыха, а также в жилые комнаты;</li>
<li>компьютеры и ноутбуки в учебные классы;</li>
<li>оборудование для анимационной студии, фото-студии, звукозаписывающей и телевизионной студии;</li>
<li>оборудование для проведения вэбинаров.</li>
</ul>
<p>Общая площадь застройки 8,15 ГА</p>
<p>Спальный корпус 20454 м2</p>
<p>Учебно-административный корпус 33261 м2</p>
<p>Учебно-спортивный корпус 18430 м2</p>";html;;30;;/upload/iblock/4f2/4f279ac40a7ab7a312e4acb1ce2d0230.jpg;11;/upload/iblock/24a/24a2c2d4f416173588ea91493b9e60bd.jpg;;;
74;ПАНСИОН ВОСПИТАННИЦ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;74;Y;;;/upload/iblock/6db/6dbca476beaffc126fb4f8574c84070a.jpg;"<p><strong>Заказчик:</strong> ООО ""ОлимпСитиСтрой""""</p><p><br></p><p>1 сентября 2019 года открылся филиал Пансиона воспитанниц Министерства Обороны Российской Федерации в Санкт-Петербурге на о.Бычий.</p>";html;;"Для нового филиала Пансиона компания «Ин-Про» осуществила поставку, монтаж и пуско-наладку современного оборудования, необходимого для учебного процесса:
<ul>
<li>аудио и видеосистемы в зоны досуга и отдыха, а также в жилые комнаты;</li>
<li>компьютеры и ноутбуки в учебные классы;</li>
<li>оборудование для анимационной студии, фото-студии, звукозаписывающей и телевизионной студии;</li>
<li>оборудование для проведения вэбинаров.</li>
</ul>
<p>Общая площадь застройки 8,15 ГА</p>
<p>Спальный корпус 20454 м2</p>
<p>Учебно-административный корпус 33261 м2</p>
<p>Учебно-спортивный корпус 18430 м2</p>";html;;30;;/upload/iblock/4f2/4f279ac40a7ab7a312e4acb1ce2d0230.jpg;11;/upload/iblock/15e/15edb20639ba55c00cbdfa108d5fc942.jpg;;;
74;ПАНСИОН ВОСПИТАННИЦ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;74;Y;;;/upload/iblock/6db/6dbca476beaffc126fb4f8574c84070a.jpg;"<p><strong>Заказчик:</strong> ООО ""ОлимпСитиСтрой""""</p><p><br></p><p>1 сентября 2019 года открылся филиал Пансиона воспитанниц Министерства Обороны Российской Федерации в Санкт-Петербурге на о.Бычий.</p>";html;;"Для нового филиала Пансиона компания «Ин-Про» осуществила поставку, монтаж и пуско-наладку современного оборудования, необходимого для учебного процесса:
<ul>
<li>аудио и видеосистемы в зоны досуга и отдыха, а также в жилые комнаты;</li>
<li>компьютеры и ноутбуки в учебные классы;</li>
<li>оборудование для анимационной студии, фото-студии, звукозаписывающей и телевизионной студии;</li>
<li>оборудование для проведения вэбинаров.</li>
</ul>
<p>Общая площадь застройки 8,15 ГА</p>
<p>Спальный корпус 20454 м2</p>
<p>Учебно-административный корпус 33261 м2</p>
<p>Учебно-спортивный корпус 18430 м2</p>";html;;30;;/upload/iblock/4f2/4f279ac40a7ab7a312e4acb1ce2d0230.jpg;12;/upload/iblock/24a/24a2c2d4f416173588ea91493b9e60bd.jpg;;;
74;ПАНСИОН ВОСПИТАННИЦ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;74;Y;;;/upload/iblock/6db/6dbca476beaffc126fb4f8574c84070a.jpg;"<p><strong>Заказчик:</strong> ООО ""ОлимпСитиСтрой""""</p><p><br></p><p>1 сентября 2019 года открылся филиал Пансиона воспитанниц Министерства Обороны Российской Федерации в Санкт-Петербурге на о.Бычий.</p>";html;;"Для нового филиала Пансиона компания «Ин-Про» осуществила поставку, монтаж и пуско-наладку современного оборудования, необходимого для учебного процесса:
<ul>
<li>аудио и видеосистемы в зоны досуга и отдыха, а также в жилые комнаты;</li>
<li>компьютеры и ноутбуки в учебные классы;</li>
<li>оборудование для анимационной студии, фото-студии, звукозаписывающей и телевизионной студии;</li>
<li>оборудование для проведения вэбинаров.</li>
</ul>
<p>Общая площадь застройки 8,15 ГА</p>
<p>Спальный корпус 20454 м2</p>
<p>Учебно-административный корпус 33261 м2</p>
<p>Учебно-спортивный корпус 18430 м2</p>";html;;30;;/upload/iblock/4f2/4f279ac40a7ab7a312e4acb1ce2d0230.jpg;12;/upload/iblock/15e/15edb20639ba55c00cbdfa108d5fc942.jpg;;;
75;КЕМЕРОВСКОЕ ПРЕЗИДЕНТСКОЕ КАДЕТСКОЕ УЧИЛИЩЕ;75;Y;;;/upload/iblock/fa5/fa58f4d204f81e0d624c796f76cf41b6.jpg;"<p><strong>Заказчик:</strong> ООО ""ОлимпСитиСтрой""""</p><p><br></p><p>Компания «Ин-Про» оснастила мультимедийным оборудованием новое президентское кадетское училище в Кемерово. Общая площадь застройки - 14 ГА.</p>";html;;"В августе 2019 года компания «Ин-Про» реализовала большой проект на поставку оборудования в Кемеровское президентское кадетское училище, еще одного социально-значимого объекта Министерства обороны. 
В рамках данного проекта «Ин-Про» полностью оснастило учебные классы и административные кабинеты новейшим компьютерным и мультимедийным оборудованием для обеспечения учебного процесса 360 кадет. Кроме того, сотрудники компании оборудовали видео-студию с профессиональной техникой для съемок, монтажа и озвучки видео-сюжетов и фильмов, фото-студию, оснащённую современным техническим оборудованием для съемок различного уровня и сложности, типографию, позволяющую изготавливать широкий спектр печатной продукции и студию звукозаписи. 
Для обеспечения высокотехнологичного уровня проведения учебно-воспитательного процесса специалисты «Ин-Про» оснастили методический кабинет оборудованием позволяющим проведение открытых уроков с возможностью записи и трансляции.";html;;40;;/upload/iblock/6f3/6f3b96e35b91c48dd6e4f63a03187189.jpg;11;/upload/iblock/e10/e1013ee18015676b72e2a4f29301a1e0.jpg;;;
75;КЕМЕРОВСКОЕ ПРЕЗИДЕНТСКОЕ КАДЕТСКОЕ УЧИЛИЩЕ;75;Y;;;/upload/iblock/fa5/fa58f4d204f81e0d624c796f76cf41b6.jpg;"<p><strong>Заказчик:</strong> ООО ""ОлимпСитиСтрой""""</p><p><br></p><p>Компания «Ин-Про» оснастила мультимедийным оборудованием новое президентское кадетское училище в Кемерово. Общая площадь застройки - 14 ГА.</p>";html;;"В августе 2019 года компания «Ин-Про» реализовала большой проект на поставку оборудования в Кемеровское президентское кадетское училище, еще одного социально-значимого объекта Министерства обороны. 
В рамках данного проекта «Ин-Про» полностью оснастило учебные классы и административные кабинеты новейшим компьютерным и мультимедийным оборудованием для обеспечения учебного процесса 360 кадет. Кроме того, сотрудники компании оборудовали видео-студию с профессиональной техникой для съемок, монтажа и озвучки видео-сюжетов и фильмов, фото-студию, оснащённую современным техническим оборудованием для съемок различного уровня и сложности, типографию, позволяющую изготавливать широкий спектр печатной продукции и студию звукозаписи. 
Для обеспечения высокотехнологичного уровня проведения учебно-воспитательного процесса специалисты «Ин-Про» оснастили методический кабинет оборудованием позволяющим проведение открытых уроков с возможностью записи и трансляции.";html;;40;;/upload/iblock/6f3/6f3b96e35b91c48dd6e4f63a03187189.jpg;11;/upload/iblock/cd4/cd4a258602c2f864837dd770f1e1b6db.jpg;;;
